set_id,set_name,set_release,join_id,card_set_id
JUSH-EN040,Justice Hunters,2025-08-01,JUSH-EN040SR,1
FOTB-EN043,FORCE OF THE BREAKER,2007-05-16,FOTB-EN043C,2
GLAS-EN062,GLADIATOR'S ASSAULT,2007-11-14,GLAS-EN062C,3
INOV-EN063,INVASION: VENGEANCE,2016-11-04,INOV-EN063C,4
STON-EN041,STRIKE OF NEOS,2007-02-28,STON-EN041C,5
DUNE-EN056,DUELIST NEXUS,2023-07-28,DUNE-EN056UR,6
AMDE-EN042,AMAZING DEFENDERS,2023-01-20,AMDE-EN042R,7
MP21-EN136,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN136SR,8
ROTD-EN053,RISE OF THE DUELIST,2020-08-07,ROTD-EN053UR,9
MP21-EN137,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN137SR,10
ROTD-EN054,RISE OF THE DUELIST,2020-08-07,ROTD-EN054C,11
MP21-EN138,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN138SR,12
ROTD-EN055,RISE OF THE DUELIST,2020-08-07,ROTD-EN055SR,13
MP24-EN038,25TH ANNIVERSARY TIN: DUELING MIRRORS,2024-09-20,MP24-EN038QCSE,14
MP15-EN169,2015 MEGA-TINS MEGA PACK,2015-09-18,MP15-EN169SR,15
NECH-ENS10,THE NEW CHALLENGERS SUPER EDITION,2014-12-05,NECH-ENS10SR,16
NECH-EN059,THE NEW CHALLENGERS,2014-11-07,NECH-EN059SR,17
DR2-EN183,DARK REVELATION Volume 2,2005-10-20,DR2-EN183C,18
AST-070,ANCIENT SANCTUARY,2004-06-01,AST-070C,19
PSV-EN088,PHARAOH'S SERVANT (LC01 25th Anniversary Edition),2023-04-21,PSV-EN088C,20
YSYR-EN010,STARTER DECK YUGI RELOADED,2013-12-06,YSYR-EN010C,21
RP02-EN022,RETRO PACK 2,2009-07-28,RP02-EN022C,22
DB1-EN198,DARK BEGINNING 1,2004-10-12,DB1-EN198C,23
PSV-088,PHARAOH'S SERVANT,2002-10-20,PSV-088C,24
DR2-EN204,DARK REVELATION Volume 2,2005-10-20,DR2-EN204C,25
AST-091,ANCIENT SANCTUARY,2004-06-01,AST-091C,26
SBC1-ENC09,SPEED DUEL: STREETS OF BATTLE CITY,2023-08-25,SBC1-ENC09C,27
MRD-EN098,METAL RAIDERS (LC01 25th Anniversary Edition),2023-04-21,MRD-EN098C,28
GLD1-EN001,GOLD SERIES,2008-04-02,GLD1-EN001C,29
SD4-EN002,STRUCTURE DECK FURY FROM THE DEEP,2005-05-09,SD4-EN002C,30
SDJ-008,STARTER DECK JOEY,2003-03-30,SDJ-008C,31
MRD-098,METAL RAIDERS,2002-06-26,MRD-098C,32
PSV-EN004,PHARAOH'S SERVANT (LC01 25th Anniversary Edition),2023-04-21,PSV-EN004C,33
SBSC-EN029,SPEED DUEL: SCARS OF BATTLE,2019-08-02,SBSC-EN029C,34
BP03-EN135,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,BP03-EN135C,35
PSV-004,PHARAOH'S SERVANT,2002-10-20,PSV-004C,36
GLD1-EN007,GOLD SERIES,2008-04-02,GLD1-EN007C,37
PGD-024,PHARAONIC GUARDIAN,2003-07-18,PGD-024C,38
SUDA-EN049,SUPREME DARKNESS,2025-01-24,SUDA-EN049SE,39
SS01-ENB11,SPEED DUEL STARTER DECK: DESTINY MASTERS,2019-01-25,SS01-ENB11C,40
DR1-EN018,DARK REVELATION Volume 1,2005-03-19,DR1-EN018C,41
PGD-070,PHARAONIC GUARDIAN,2003-07-18,PGD-070C,42
DCR-EN030,DARK CRISIS (LC01 25th Anniversary Edition),2023-04-21,DCR-EN030C,43
LCJW-EN241,LEGENDARY COLLECTION 4 JOEY'S WORLD MEGA PACK,2013-10-11,LCJW-EN241R,44
DR1-EN192,DARK REVELATION Volume 1,2005-03-19,DR1-EN192C,45
DCR-030,DARK CRISIS,2003-12-01,DCR-030C,46
LEHD-ENA26,LEGENDARY HERO DECKS,2018-10-12,LEHD-ENA26C,47
LCYW-EN280,LEGENDARY COLLECTION 3 YUGI'S WORLD MEGA PACK,2012-10-02,LCYW-EN280SE,48
YSDS-EN029,STARTER DECK SYRUS TRUESDALE,2007-07-25,YSDS-EN029C,49
CP03-EN018,CHAMPION PACK GAME THREE,2007-05-15,CP03-EN018C,50
DR3-EN157,DARK REVELATION Volume 3,2006-11-25,DR3-EN157SR,51
FET-EN037,FLAMING ETERNITY,2005-03-01,FET-EN037SR,52
SGX4-END18,SPEED DUEL GX: MIDTERM DESTRUCTION,2024-03-29,SGX4-END18C,53
LOD-032,LEGACY OF DARKNESS,2003-06-06,LOD-032C,54
IOC-EN104,INVASION OF CHAOS (LC01 25th Anniversary Edition),2023-04-21,IOC-EN104C,55
SGX1-ENA19,SPEED DUEL GX: DUEL ACADEMY BOX,2022-03-18,SGX1-ENA19C,56
YS14-EN036,SUPER STARTER SPACE-TIME SHOWDOWN,2014-07-11,YS14-EN036C,57
BP02-EN179,BATTLE PACK 2 WAR OF THE GIANTS,2013-06-28,BP02-EN179C,58
DP1-EN025,DUELIST PACK - JADEN YUKI -,2006-02-08,DP1-EN025C,59
DR2-EN105,DARK REVELATION Volume 2,2005-10-20,DR2-EN105C,60
IOC-104,INVASION OF CHAOS,2004-03-01,IOC-104C,61
RA04-EN087,QUARTER CENTURY STAMPEDE,2025-04-11,RA04-EN087SR,62
BLC1-EN158,BATTLES OF LEGEND - CHAPTER 1,2024-02-23,BLC1-EN158C,63
MAMA-EN081,MAGNIFICENT MAVENS,2022-11-04,MAMA-EN081UR,64
SGX2-ENA16,SPEED DUEL GX: MIDTERM PARADOX,2022-10-10,SGX2-ENA16C,65
LDS3-EN112,LEGENDARY DUELISTS: SEASON 3,2022-07-22,LDS3-EN112C,66
LED6-EN022,LEGENDARY DUELISTS: MAGICAL HERO,2020-01-17,LED6-EN022C,67
SDHS-EN026,HERO STRIKE STRUCTURE DECK,2015-01-30,SDHS-EN026C,68
GENF-EN098,GENERATION FORCE,2011-08-16,GENF-EN098UR,69
SBC1-ENI27,SPEED DUEL: STREETS OF BATTLE CITY,2023-08-25,SBC1-ENI27C,70
MAMA-EN079,MAGNIFICENT MAVENS,2022-11-04,MAMA-EN079UR,71
SGX2-ENC13,SPEED DUEL GX: MIDTERM PARADOX,2022-10-10,SGX2-ENC13C,72
LDS1-EN029,LEGENDARY DUELISTS: SEASON 1,2020-07-03,LDS1-EN029C,73
LEDU-EN021,LEGENDARY DUELISTS,2017-09-08,LEDU-EN021C,74
SDRE-EN024,REALM OF THE SEA EMPEROR STRUCTURE DECK,2012-10-16,SDRE-EN024C,75
RP02-EN062,RETRO PACK 2,2009-07-28,RP02-EN062C,76
