name,description,type,sub_type,attribute,attack,defense,price,volatility,index,index_market,join_id,set_id,set_name,set_release,rarity,rank,name_official,price_missing
3-Hump Lacooda,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards.",MONSTER,[Beast／Effect],EARTH,500,1500,0.165,,6032,24804,DR2-EN183C,AST-070,ANCIENT SANCTUARY,2004-06-01,C Common,3,3-Hump Lacooda,False
4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,MONSTER,[Insect／Flip／Effect],WIND,800,1200,0.2,,5139,476351,PSV-EN088C,PSV-EN088,PHARAOH'S SERVANT (LC01 25th Anniversary Edition),2009-07-28,C Common,3,4-Starred Ladybug of Doom,False
7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,MONSTER,[Fish／Normal],WATER,1800,800,0.4814,,4446,512278,SBC1-ENC09C,MRD-EN098,METAL RAIDERS (LC01 25th Anniversary Edition),2023-04-21,C Common,4,7 Colored Fish,False
8-Claws Scorpion,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",MONSTER,[Insect／Effect],DARK,300,200,0.125,,5421,32210,GLD1-EN007C,GLD1-EN007,GOLD SERIES,2003-07-18,C Common,2,8-Claws Scorpion,False
A Cat of Ill Omen,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the field, you can add that Trap to your hand instead.",MONSTER,[Beast／Flip／Effect],DARK,500,300,2.2167,,5520,183745,SS01-ENB11C,DR1-EN018,DARK REVELATION Volume 1,2003-07-18,C Common,2,A Cat of Ill Omen,False
A Man with Wdjat,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.",MONSTER,[Spellcaster／Effect],DARK,1600,1600,0.17,,5518,23803,DR1-EN016C,DR1-EN016,DARK REVELATION Volume 1,2003-07-18,C Common,4,A Man with Wdjat,False
A-Assault Core,"Once per turn, you can either: Target 1 LIGHT Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own), also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the GY: You can add 1 other Union monster from your GY to your hand.",MONSTER,[Machine／Union／Effect],LIGHT,1900,200,1.22,,12582,161945,LCKC-EN019SE,LCKC-EN019,LEGENDARY COLLECTION KAIBA MEGA PACK,2018-03-09,SE Secret Rare,4,A-Assault Core,False
A-Team: Trap Disposal Unit,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it.",MONSTER,[Machine／Effect],FIRE,300,400,4.0967,,6202,25888,DR3-EN093R,RDS-EN033,RISE OF DESTINY,2004-12-01,R Rare,2,A-Team: Trap Disposal Unit,False
A/D Changer,"You can banish this card from your Graveyard, then target 1 monster on the field; change its battle position.",MONSTER,[Warrior／Effect],LIGHT,100,100,0.3733,,8936,78888,BPW2-EN032C,BPW2-EN032,BATTLE PACK 2 WAR OF THE GIANTS ROUND 2,2010-08-17,C Common,1,A/D Changer,False
ABC-Dragon Buster,"""A-Assault Core"" + ""B-Buster Drake"" + ""C-Crush Wyvern""Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control and/or from your GY. (You do not use ""Polymerization"".) Once per turn (Quick Effect): You can discard 1 card, then target 1 card on the field; banish it. During your opponent's turn (Quick Effect): You can Tribute this card, then target 3 of your banished LIGHT Machine Union monsters with different names; Special Summon them.",MONSTER,[Machine／Fusion／Effect],LIGHT,3000,2800,2.02,,12590,627617,RA04-EN271PS,RA04-EN271,QUARTER CENTURY STAMPEDE,2025-04-11,PS Platinum Secret Rare,8,ABC-Dragon Buster,False
Abaki,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage.",MONSTER,[Fiend／Effect],FIRE,1700,1100,0.12,,6937,26390,YSDS-EN020C,CDIP-EN013,CYBERDARK IMPACT,2006-11-15,C Common,4,Abaki,False
Abare Ushioni,"Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage.",MONSTER,[Beast-Warrior／Effect],EARTH,1200,1200,0.33,,6255,25941,DR3-EN146C,DR3-EN146,DARK REVELATION Volume 3,2005-03-01,C Common,4,Abare Ushioni,False
Abominable Unchained Soul,"You can only Special Summon ""Abominable Unchained Soul(s)"" once per turn. If a card(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. If this card is Special Summoned: You can discard 1 card; destroy 1 card on the field. Once per turn, during the End Phase, if this card is in the GY because it was destroyed on the field and sent there this turn: You can Special Summon this card, but place it on the bottom of the Deck when it leaves the field.",MONSTER,[Fiend／Effect],DARK,3000,1500,0.33,,14828,527087,VASM-EN051R,IGAS-EN019,IGNITION ASSAULT,2020-01-31,R Rare,8,Abominable Unchained Soul,False
Absolute Axon Kicker,"1 Psychic Synchro Monster + 1 Synchro MonsterMust first be Fusion Summoned. Cannot be destroyed by card effects. If this card is Fusion Summoned: You can pay 2000 LP; banish all face-up cards your opponent controls. If this card is in your GY, except the turn it was sent there: You can banish it; Special Summon 1 Level 10 Psychic Fusion Monster from your Extra Deck (this is treated as a Fusion Summon). You can only use this effect of ""Absolute Axon Kicker"" once per turn.",MONSTER,[Psychic／Fusion／Effect],LIGHT,3400,2200,0.03,,21445,639371,DUAD-EN034C,DUAD-EN034,DUELIST'S ADVANCE,2025-07-04,C Common,11,Absolute Axon Kicker,False
Absolute Crusader,If a Level 5 or higher monster(s) is Special Summoned: Tribute this face-up card; destroy that Level 5 or higher monster(s).,MONSTER,[Warrior／Effect],EARTH,1800,1200,0.16,,9653,600096,SBC2-ENC04C,LEDD-ENA13,LEGENDARY DRAGON DECKS,2017-10-06,C Common,4,Absolute Crusader,False
Absolute King Back Jack,"During your opponent's turn (Quick Effect): You can banish this card from the GY; excavate the top card of your Deck, and if it is a Normal Trap, Set it to your field. Otherwise, send it to the GY. That Set card can be activated during this turn. If this card is sent to the GY: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn.",MONSTER,[Fiend／Effect],DARK,0,0,0.9325,,11642,627563,RA04-EN244PS,RA04-EN244,QUARTER CENTURY STAMPEDE,2025-04-11,C Common,1,Absolute King Back Jack,False
Absorbing Jar,"FLIP: Destroy all Set Spells/Traps on the field, then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn.",MONSTER,[Rock／Flip／Effect],EARTH,600,500,0.1567,,10060,489374,SGX3-ENA12C,GAOV-EN037,GALACTIC OVERLORD,2012-05-08,C Common,3,Absorbing Jar,False
Absorbing Kid from the Sky,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points.",MONSTER,[Fairy／Effect],LIGHT,1300,1000,0.255,,6034,24806,DR2-EN185C,AST-072,ANCIENT SANCTUARY,2004-06-01,C Common,4,Absorbing Kid from the Sky,False
Absorouter Dragon,"If you control a ""Rokket"" monster, you can Special Summon this card (from your hand). You can only Special Summon ""Absorouter Dragon"" once per turn this way. If this card is sent to the GY: You can add 1 ""Rokket"" monster from your Deck to your hand. You can only use this effect of ""Absorouter Dragon"" once per turn.",MONSTER,[Dragon／Effect],DARK,1200,2800,0.98,,14618,196810,SDRR-EN005SR,SDRR-EN005,STRUCTURE DECK: ROKKET REVOLT,2019-08-16,SR Super Rare,7,Absorouter Dragon,False
Abyss Actor - Comic Relief,"You take no battle damage from attacks involving this card. Once per turn, during your Standby Phase: Give control of this card to your opponent. Once per turn, if control of this face-up card changes: Activate this effect; the owner of this card can destroy 1 Set ""Abyss Script"" Spell in their Spell & Trap Zone.",MONSTER,[Fiend／Pendulum／Effect],DARK,1000,2000,0.16,,13863,230306,LDS2-EN061C,LDS2-EN061,LEGENDARY DUELISTS: SEASON 2,2018-09-28,C Common,3,Abyss Actor - Comic Relief,False
Abyss Actor - Curtain Raiser,"Gains 1100 ATK if you control no other monsters. Once per turn: You can send 1 ""Abyss Script"" Spell from your Deck to the GY; add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.",MONSTER,[Fiend／Pendulum／Effect],DARK,1100,1000,0.52,,13137,482448,OP21-EN015C,BLLR-EN012,BATTLES OF LEGEND -LIGHT'S REVENGE-,2017-07-07,C Common,4,Abyss Actor - Curtain Raiser,False
