name,description,type,sub_type,attribute,attack,defense,price,volatility,rank,set_id,Unnamed: 0,rarity,set_name,set_release,name_official,index,index_market,join_id,set_release_parsed,Decks
3-Hump Lacooda,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards.",MONSTER,[Beast／Effect],EARTH,500.0,1500.0,,,,"['DR2-EN183', 'AST-070']",19,C Common,DARK REVELATION Volume 2,2005-10-20,3-Hump Lacooda,6032,24804,DR2-EN183C,2005-10-20,"['DR2-EN183 (DARK REVELATION Volume 2)', 'AST-070 (ANCIENT SANCTUARY)']"
4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,MONSTER,[Insect／Flip／Effect],WIND,800.0,1200.0,,,,"['PSV-EN088', 'PSV-EN088', 'YSYR-EN010', 'RP02-EN022', 'RP02-EN022', 'DB1-EN198', 'PSV-088']",21,C Common,PHARAOH'S SERVANT (LC01 25th Anniversary Edition),2023-04-21,4-Starred Ladybug of Doom,5139,476351,PSV-EN088C,2023-04-21,"[""PSV-EN088 (PHARAOH'S SERVANT (LC01 25th Anniversary Edition))"", 'PSV-EN088 (STARTER DECK YUGI RELOADED)', 'YSYR-EN010 (RETRO PACK 2)', 'RP02-EN022 (DARK BEGINNING 1)', ""RP02-EN022 (PHARAOH'S SERVANT)""]"
7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,MONSTER,[Fish／Normal],WATER,1800.0,800.0,,,,"['SBC1-ENC09', 'MRD-EN098', 'MRD-EN098', 'GLD1-EN001', 'SD4-EN002', 'SDJ-008', 'MRD-098']",30,C Common,SPEED DUEL: STREETS OF BATTLE CITY,2023-08-25,7 Colored Fish,4446,512278,SBC1-ENC09C,2023-08-25,"['SBC1-ENC09 (SPEED DUEL: STREETS OF BATTLE CITY)', 'MRD-EN098 (METAL RAIDERS (LC01 25th Anniversary Edition))', 'MRD-EN098 (GOLD SERIES)', 'GLD1-EN001 (STRUCTURE DECK FURY FROM THE DEEP)', 'SD4-EN002 (STARTER DECK JOEY)', 'SDJ-008 (METAL RAIDERS)']"
8-Claws Scorpion,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",MONSTER,[Insect／Effect],DARK,300.0,200.0,,,,"['GLD1-EN007', 'PGD-024']",43,C Common,GOLD SERIES,2008-04-02,8-Claws Scorpion,5421,32210,GLD1-EN007C,2008-04-02,"['GLD1-EN007 (GOLD SERIES)', 'PGD-024 (PHARAONIC GUARDIAN)']"
A Cat of Ill Omen,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the field, you can add that Trap to your hand instead.",MONSTER,[Beast／Flip／Effect],DARK,500.0,300.0,,,,"['SS01-ENB11', 'DR1-EN018', 'PGD-070']",47,C Common,SPEED DUEL STARTER DECK: DESTINY MASTERS,2019-01-25,A Cat of Ill Omen,5520,183745,SS01-ENB11C,2019-01-25,"['SS01-ENB11 (SPEED DUEL STARTER DECK: DESTINY MASTERS)', 'DR1-EN018 (DARK REVELATION Volume 1)', 'PGD-070 (PHARAONIC GUARDIAN)']"
A Man with Wdjat,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.",MONSTER,[Spellcaster／Effect],DARK,1600.0,1600.0,,,,"['DR1-EN016', 'PGD-068']",106,C Common,DARK REVELATION Volume 1,2005-03-19,A Man with Wdjat,5518,23803,DR1-EN016C,2005-03-19,"['DR1-EN016 (DARK REVELATION Volume 1)', 'PGD-068 (PHARAONIC GUARDIAN)']"
A-Assault Core,"Once per turn, you can either: Target 1 LIGHT Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own), also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the GY: You can add 1 other Union monster from your GY to your hand.",MONSTER,[Machine／Union／Effect],LIGHT,1900.0,200.0,,,,['LCKC-EN019'],122,SE Secret Rare,LEGENDARY COLLECTION KAIBA MEGA PACK,2018-03-09,A-Assault Core,12582,161945,LCKC-EN019SE,2018-03-09,['LCKC-EN019 (LEGENDARY COLLECTION KAIBA MEGA PACK)']
A-Team: Trap Disposal Unit,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it.",MONSTER,[Machine／Effect],FIRE,300.0,400.0,,,,"['DR3-EN093', 'RDS-EN033', 'RDS-EN033']",123,R Rare,DARK REVELATION Volume 3,2006-11-25,A-Team: Trap Disposal Unit,6202,25888,DR3-EN093R,2006-11-25,"['DR3-EN093 (DARK REVELATION Volume 3)', 'RDS-EN033 (RISE OF DESTINY)']"
A/D Changer,"You can banish this card from your Graveyard, then target 1 monster on the field; change its battle position.",MONSTER,[Warrior／Effect],LIGHT,100.0,100.0,,,,"['BPW2-EN032', 'DP10-EN010', 'DREV-EN005']",145,C Common,BATTLE PACK 2 WAR OF THE GIANTS ROUND 2,2014-01-17,A/D Changer,8936,78888,BPW2-EN032C,2014-01-17,"['BPW2-EN032 (BATTLE PACK 2 WAR OF THE GIANTS ROUND 2)', 'DP10-EN010 (DUELIST PACK - YUSEI 3 -)', 'DREV-EN005 (DUELIST REVOLUTION)']"
ABC-Dragon Buster,"""A-Assault Core"" + ""B-Buster Drake"" + ""C-Crush Wyvern""Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control and/or from your GY. (You do not use ""Polymerization"".) Once per turn (Quick Effect): You can discard 1 card, then target 1 card on the field; banish it. During your opponent's turn (Quick Effect): You can Tribute this card, then target 3 of your banished LIGHT Machine Union monsters with different names; Special Summon them.",MONSTER,[Machine／Fusion／Effect],LIGHT,3000.0,2800.0,,,,"['RA04-EN271', 'RA04-EN271', 'OP13-EN006', 'LCKC-EN059']",152,PS Platinum Secret Rare,QUARTER CENTURY STAMPEDE,2025-04-11,ABC-Dragon Buster,12590,627617,RA04-EN271PS,2025-04-11,"['RA04-EN271 (QUARTER CENTURY STAMPEDE)', 'RA04-EN271 (OTS TOURNAMENT PACK 13)', 'OP13-EN006 (LEGENDARY COLLECTION KAIBA MEGA PACK)']"
