Unnamed: 0,name,description,set_id,rarity,price,volatility,type,sub_type,attribute,rank,attack,defense,set_name,set_release,name_official,index,index_market,join_id,set_release_parsed
0,"""A Case for K9""","When this card is activated: You can add 1 ""K9"" monster from your Deck to your hand. ""K9"" monsters you control gain 900 ATK during any turn in which your opponent has activated a monster effect in the hand or GY. If this card in the Spell & Trap Zone is destroyed by card effect: You can Set 1 ""K9"" Quick-Play Spell from your Deck or GY. You can only use this effect of """"A Case for K9"""" once per turn. You can only activate 1 """"A Case for K9"""" per turn.",JUSH-EN040,SR Super Rare,,,SPELL,Continuous,,,,,Justice Hunters,2025-08-01,"""A Case for K9""",21385,645258,JUSH-EN040SR,2025-08-01
1,"""A Case for K9""","When this card is activated: You can add 1 ""K9"" monster from your Deck to your hand. ""K9"" monsters you control gain 900 ATK during any turn in which your opponent has activated a monster effect in the hand or GY. If this card in the Spell & Trap Zone is destroyed by card effect: You can Set 1 ""K9"" Quick-Play Spell from your Deck or GY. You can only use this effect of """"A Case for K9"""" once per turn. You can only activate 1 """"A Case for K9"""" per turn.",JUSH-EN040,STAR Starlight Rare,,,SPELL,Continuous,,,,,Justice Hunters,2025-08-01,"""A Case for K9""",21385,646708,JUSH-EN040STAR,2025-08-01
2,"""A"" Cell Breeding Device","During each of your Standby Phases, put 1 A-Counter on 1 face-up monster your opponent controls.",FOTB-EN043,C Common,,,SPELL,Continuous,,,,,FORCE OF THE BREAKER,2007-05-16,"""A"" Cell Breeding Device",7128,25767,FOTB-EN043C,2007-05-16
3,"""A"" Cell Incubator","Each time an A-Counter(s) is removed from play by a card effect, place 1 A-Counter on this card. When this card is destroyed, distribute the A-Counters on this card among face-up monsters.",GLAS-EN062,C Common,,,SPELL,Continuous,,,,,GLADIATOR'S ASSAULT,2007-11-14,"""A"" Cell Incubator",7315,26309,GLAS-EN062C,2007-11-14
4,"""A"" Cell Recombination Device","Target 1 face-up monster on the field; send 1 ""Alien"" monster from your Deck to the Graveyard, and if you do, place A-Counters on that monster equal to the Level of the sent monster. During your Main Phase, except the turn this card was sent to the Graveyard: You can banish this card from your Graveyard; add 1 ""Alien"" monster from your Deck to your hand.",INOV-EN063,C Common,,,SPELL,Quick-Play,,,,,INVASION: VENGEANCE,2016-11-04,"""A"" Cell Recombination Device",12653,124766,INOV-EN063C,2016-11-04
5,"""A"" Cell Scatter Burst","Select 1 face-up ""Alien"" monster you control. Destroy it and distribute new A-Counters equal to its Level among your opponent's face-up monsters.",STON-EN041,C Common,,,SPELL,Quick-Play,,,,,STRIKE OF NEOS,2007-02-28,"""A"" Cell Scatter Burst",6994,25692,STON-EN041C,2007-02-28
6,"""Infernoble Arms - Almace""","While this card is equipped to a monster: You can equip 1 ""Infernoble Arms"" Equip Spell from your Deck or GY, except """"Infernoble Arms - Almace"""", to 1 appropriate monster you control, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 of your FIRE Warrior monsters that is banished or in your GY; add it to your hand. You can only use 1 """"Infernoble Arms - Almace"""" effect per turn, and only once that turn.",DUNE-EN056,UR Ultra Rare,,,SPELL,Equip,,,,,DUELIST NEXUS,2023-07-28,"""Infernoble Arms - Almace""",18843,504871,DUNE-EN056UR,2023-07-28
7,"""Infernoble Arms - Almace""","While this card is equipped to a monster: You can equip 1 ""Infernoble Arms"" Equip Spell from your Deck or GY, except """"Infernoble Arms - Almace"""", to 1 appropriate monster you control, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 of your FIRE Warrior monsters that is banished or in your GY; add it to your hand. You can only use 1 """"Infernoble Arms - Almace"""" effect per turn, and only once that turn.",DUNE-EN056,QCSE Quarter Century Secret Rare,,,SPELL,Equip,,,,,DUELIST NEXUS,2023-07-28,"""Infernoble Arms - Almace""",18843,504872,DUNE-EN056QCSE,2023-07-28
8,"""Infernoble Arms - Durendal""","While this card is equipped to a monster: You can add 1 Level 5 or lower FIRE Warrior monster from your Deck to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 Level 5 or lower FIRE Warrior monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of this turn, except Warrior monsters. You can only use 1 """"Infernoble Arms - Durendal"""" effect per turn, and only once that turn.",AMDE-EN042,R Rare,,,SPELL,Equip,,,,,AMAZING DEFENDERS,2023-01-20,"""Infernoble Arms - Durendal""",15287,477638,AMDE-EN042R,2023-01-20
9,"""Infernoble Arms - Durendal""","While this card is equipped to a monster: You can add 1 Level 5 or lower FIRE Warrior monster from your Deck to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 Level 5 or lower FIRE Warrior monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of this turn, except Warrior monsters. You can only use 1 """"Infernoble Arms - Durendal"""" effect per turn, and only once that turn.",MP21-EN136,SR Super Rare,,,SPELL,Equip,,,,,2021 TIN OF ANCIENT BATTLES,2021-10-01,"""Infernoble Arms - Durendal""",15287,249096,MP21-EN136SR,2021-10-01
