card_id,card_set_id,name,description,rarity,price,volatility_id,type_id,sub_type,attribute_id,rank,attack,defense
0,1,A Case for K9,When this card is activated: You can add 1 K9 monster from your Deck to your hand. K9 monsters you control gain 900 ATK during any turn in which your opponent has activated a monster effect in the hand or GY. If this card in the Spell & Trap Zone is destroyed by card effect: You can Set 1 K9 Quick-Play Spell from your Deck or GY. You can only use this effect of A Case for K9 once per turn. You can only activate 1 A Case for K9 per turn.,SR Super Rare,0.12,1,1,Continuous,1,NONE,0.0,0.0
1,1,A Case for K9,When this card is activated: You can add 1 K9 monster from your Deck to your hand. K9 monsters you control gain 900 ATK during any turn in which your opponent has activated a monster effect in the hand or GY. If this card in the Spell & Trap Zone is destroyed by card effect: You can Set 1 K9 Quick-Play Spell from your Deck or GY. You can only use this effect of A Case for K9 once per turn. You can only activate 1 A Case for K9 per turn.,STAR Starlight Rare,37.32,2,1,Continuous,1,NONE,0.0,0.0
2,2,A Cell Breeding Device,"During each of your Standby Phases, put 1 A-Counter on 1 face-up monster your opponent controls.",C Common,0.25,3,1,Continuous,1,NONE,0.0,0.0
3,3,A Cell Incubator,"Each time an A-Counter(s) is removed from play by a card effect, place 1 A-Counter on this card. When this card is destroyed, distribute the A-Counters on this card among face-up monsters.",C Common,0.0,4,1,Continuous,1,NONE,0.0,0.0
4,4,A Cell Recombination Device,"Target 1 face-up monster on the field; send 1 Alien monster from your Deck to the Graveyard, and if you do, place A-Counters on that monster equal to the Level of the sent monster. During your Main Phase, except the turn this card was sent to the Graveyard: You can banish this card from your Graveyard; add 1 Alien monster from your Deck to your hand.",C Common,0.22,3,1,Quick-Play,1,NONE,0.0,0.0
5,5,A Cell Scatter Burst,Select 1 face-up Alien monster you control. Destroy it and distribute new A-Counters equal to its Level among your opponent's face-up monsters.,C Common,0.19,3,1,Quick-Play,1,NONE,0.0,0.0
6,6,Infernoble Arms - Almace,"While this card is equipped to a monster: You can equip 1 Infernoble Arms Equip Spell from your Deck or GY, except Infernoble Arms - Almace, to 1 appropriate monster you control, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 of your FIRE Warrior monsters that is banished or in your GY; add it to your hand. You can only use 1 Infernoble Arms - Almace effect per turn, and only once that turn.",UR Ultra Rare,0.85,1,1,Equip,1,NONE,0.0,0.0
7,6,Infernoble Arms - Almace,"While this card is equipped to a monster: You can equip 1 Infernoble Arms Equip Spell from your Deck or GY, except Infernoble Arms - Almace, to 1 appropriate monster you control, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 of your FIRE Warrior monsters that is banished or in your GY; add it to your hand. You can only use 1 Infernoble Arms - Almace effect per turn, and only once that turn.",QCSE Quarter Century Secret Rare,8.56,1,1,Equip,1,NONE,0.0,0.0
8,7,Infernoble Arms - Durendal,"While this card is equipped to a monster: You can add 1 Level 5 or lower FIRE Warrior monster from your Deck to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 Level 5 or lower FIRE Warrior monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of this turn, except Warrior monsters. You can only use 1 Infernoble Arms - Durendal effect per turn, and only once that turn.",R Rare,0.13,1,1,Equip,1,NONE,0.0,0.0
9,8,Infernoble Arms - Durendal,"While this card is equipped to a monster: You can add 1 Level 5 or lower FIRE Warrior monster from your Deck to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 Level 5 or lower FIRE Warrior monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of this turn, except Warrior monsters. You can only use 1 Infernoble Arms - Durendal effect per turn, and only once that turn.",SR Super Rare,0.27,1,1,Equip,1,NONE,0.0,0.0
10,9,Infernoble Arms - Durendal,"While this card is equipped to a monster: You can add 1 Level 5 or lower FIRE Warrior monster from your Deck to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 Level 5 or lower FIRE Warrior monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of this turn, except Warrior monsters. You can only use 1 Infernoble Arms - Durendal effect per turn, and only once that turn.",UR Ultra Rare,3.18,5,1,Equip,1,NONE,0.0,0.0
11,10,Infernoble Arms - Hauteclere,"While this card is equipped to a monster: You can target 1 face-up monster you control; this turn, you cannot declare attacks, except with that monster, also it gains the ability this turn to make a second attack during each Battle Phase, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 face-up monster on the field; destroy it. You can only use 1 Infernoble Arms - Hauteclere effect per turn, and only once that turn.",SR Super Rare,0.15,5,1,Equip,1,NONE,0.0,0.0
12,11,Infernoble Arms - Hauteclere,"While this card is equipped to a monster: You can target 1 face-up monster you control; this turn, you cannot declare attacks, except with that monster, also it gains the ability this turn to make a second attack during each Battle Phase, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 face-up monster on the field; destroy it. You can only use 1 Infernoble Arms - Hauteclere effect per turn, and only once that turn.",C Common,0.08,1,1,Equip,1,NONE,0.0,0.0
13,12,Infernoble Arms - Joyeuse,"While this card is equipped to a monster: You can target 1 FIRE Warrior monster in your GY; add it to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can Special Summon 1 FIRE Warrior monster from your hand. You can only use 1 Infernoble Arms - Joyeuse effect per turn, and only once that turn.",SR Super Rare,0.19,1,1,Equip,1,NONE,0.0,0.0
14,13,Infernoble Arms - Joyeuse,"While this card is equipped to a monster: You can target 1 FIRE Warrior monster in your GY; add it to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can Special Summon 1 FIRE Warrior monster from your hand. You can only use 1 Infernoble Arms - Joyeuse effect per turn, and only once that turn.",SR Super Rare,0.22,1,1,Equip,1,NONE,0.0,0.0
15,14,1st Movement Solo,"If you control no monsters: Special Summon 1 Level 4 or lower Melodious monster from your hand or Deck. You can only activate 1 1st Movement Solo per turn. You cannot Special Summon monsters during the turn you activate this card, except Melodious monsters.",QCSE Quarter Century Secret Rare,0.58,1,1,NONE,1,NONE,0.0,0.0
16,15,1st Movement Solo,"If you control no monsters: Special Summon 1 Level 4 or lower Melodious monster from your hand or Deck. You can only activate 1 1st Movement Solo per turn. You cannot Special Summon monsters during the turn you activate this card, except Melodious monsters.",SR Super Rare,3.54,5,1,NONE,1,NONE,0.0,0.0
17,16,1st Movement Solo,"If you control no monsters: Special Summon 1 Level 4 or lower Melodious monster from your hand or Deck. You can only activate 1 1st Movement Solo per turn. You cannot Special Summon monsters during the turn you activate this card, except Melodious monsters.",SR Super Rare,0.77,1,1,NONE,1,NONE,0.0,0.0
